keystrokes	longname	prefix	shift	key	jump	selection	modifies	logged	sheet	menupath	execstr	helpstr_en
^A	exec-longname		Ctrl	^A	n	n	n	n	global			
^B	prev-page		Ctrl	^B	n	n	n	n	Sheet			
^C	cancel-sheet		Ctrl	^C	n	n	n	n	Sheet			
g^C	cancel-all	g	Ctrl	^C	n	n	n	n	global			
^D	save-cmdlog		Ctrl	^D	n	n	n	n	global			
^E	errors-recent		Ctrl	^E	meta	n	n	n	global	info-errors-last		
g^E	errors-all	g	Ctrl	^E	meta	n	n	n	global			
z^E	error-cell	z	Ctrl	^E	meta	n	n	n	Sheet			
^F	next-page		Ctrl	^F	n	n	n	n	Sheet			
^G	show-cursor		Ctrl	^G	n	n	n	n	Sheet			
^H	sysopen-help		Ctrl	^H	external	n	n	n	global			
g^H	commands-sheet		Ctrl	^H	static	n	n	n	Sheet			
^I	advance-replay		Ctrl	^I	n	n	n	n	global			
^J	dive-row		Ctrl	^J	derived	n	n	y	Sheet			
z^J	dive-cell	z	Ctrl	^J	derived	n	n	y	Sheet			
^K	stop-replay		Ctrl	^K	n	n	n	n	global			
^L	redraw		Ctrl	^L	n	n	n	n	global			
^O	sysopen-row		Ctrl	^O	external	n	y	y	Sheet			
z^O	sysopen-cell	z	Ctrl	^O	external	n	y	y	Sheet			
^P	statuses		Ctrl	^P	static meta	n	n	n	global			
^R	reload-sheet		Ctrl	^R	n	n	should confirm if modified; marks as unmodified	y	Sheet			
g^R	reload-all	g	Ctrl	^R	n	n		y	global			
z^R	reload-row	z	Ctrl	^R	n	n	unmodifies	y	TodoSheet			
gz^R	reload-selected	gz	Ctrl	^R	n	n	unmodifies	y	TodoSheet			
^S	save-sheet		Ctrl	^S	n	n	n	y	Sheet			
g^S	save-all	g	Ctrl	^S	n	n	n	y	global			
z^S	save-col	z	Ctrl	^S	n	n	n	y	Sheet			
^T	threads-all		Ctrl	^T	meta	n	n	n	global			
^U	pause-replay		Ctrl	^U	n	n	n	n	global			
^V	show-version		Ctrl	^V	n	n	n	n	global			
^X	pyobj-eval		Ctrl	^X	y	n	n	y	global			
g^X	exec-python	g	Ctrl	^X	n	n	n	y	global			
z^X	show-eval	z	Ctrl	^X	n	n	n	y	global			
^Y	pyobj-row		Ctrl	^Y	meta	n	n	y	Sheet			
g^Y	pyobj-sheet	g	Ctrl	^Y	meta	n	n	y	global			
z^Y	pyobj-cell	z	Ctrl	^Y	meta	n	n	y	Sheet			
^Z	suspend		Ctrl	^Z	suspend	n	n	n	global			
^^	prev-sheet		Ctrl	^^	swap	n	n	n	global			
^_	toggle-profile		Ctrl	^_	n	n	n	n	global			
SPACE	menu			SPACE	modal	n	n	n	global			
!	key-col		Shift	!	n	n	n	y	Sheet			
g!	key-col-on	g	Shift	!	n	n	n	y	Sheet			
z!	key-col-off	z	Shift	!	n	n	n	y	Sheet			
"	dup-selected		Shift	"	derived	use	n	y	Sheet			
z"	dup-selected-deep	z	Shift	"	copy	use	n	y	Sheet			
g"	dup-rows	g	Shift	"	derived	use	n	y	Sheet			
gz"	dup-rows-deep	gz	Shift	"	copy	use	n	y	Sheet			
#	type-int		Shift	#	n	n	n	y	Sheet			
$	type-currency		Shift	$	n	n	n	y	Sheet			
%	type-float		Shift	%	n	n	n	y	Sheet			
'	freeze-col			'	n	n	n	y	Sheet			
g'	freeze-sheet	g		'	copy	n	n	y	Sheet			
z'	cache-col	z		'	n	n	n	y	Sheet			
gz'	cache-cols	gz		'	n	n	n	y	Sheet			
(	expand-col		Shift	(	n	n	n	y	Sheet			
g(	expand-cols	g	Shift	(	n	n	n	y	Sheet			
z(	expand-col-depth	z	Shift	(	n	n	n	y	Sheet			
gz(	expand-cols-depth	gz	Shift	(	n	n	n	y	Sheet			
)	contract-col		Shift	)	n	n	n	y	Sheet			
*	addcol-subst		Shift	*	n	n	y	y	Sheet			
g*	setcol-subst	g	Shift	*	n	use	y	y	Sheet			
+	aggregate-col		Shift	+	n	n	n	y	Sheet			
g+	aggregate-numerics	g	Shift	+	n	n	n	y	Sheet			
z+	show-aggregate	z	Shift	+	n	n	n	y	Sheet			
,	select-equal-cell			,	n	change	n	y	Sheet			
g,	select-equal-row	g		,	n	change	n	y	Sheet			
-	hide-col			-	n	n	n	y	Sheet			
g-	remove-col	g		-	n	n	n	y	Sheet			
z-	resize-col-half	z		-	n	n	n	n	Sheet			
.	plot-column			.	canvas	n	n	y	Sheet			
g.	plot-numerics	g		.	canvas	n	n	y	Sheet			
/	search-col			/	n	n	n	n	Sheet			
g/	search-cols	g		/	n	n	n	n	Sheet			
z/	search-expr	z		/	n	n	n	n	Sheet			
:	split-col		Shift	:	n	n	n	y	Sheet			
;	capture-col			;	n	n	n	y	Sheet			
>	next-value		Shift	>	n	n	n	n	Sheet			
z>	next-null	z	Shift	>	n	n	n	n	Sheet			
=	addcol-expr			=	n	n	y	y	Sheet			
g=	setcol-expr	g		=	n	use	y	y	Sheet			
z=	show-expr	z		=	n	n	n	y	Sheet			
gz=	setcol-range	gz		=	n	use	y	y	Sheet			
?	searchr-col		Shift	?	n	n	n	n	Sheet			
g?	searchr-cols	g	Shift	?	n	n	n	n	Sheet			
z?	searchr-expr	z	Shift	?	n	n	n	n	Sheet			
<	prev-value		Shift	<	n	n	n	n	Sheet			
z<	prev-null	z	Shift	<	n	n	n	n	Sheet			
@	type-date		Shift	@	n	n	n	y	Sheet			
A	add-sheet		Shift	A	new	n	n	y	global			
C	columns-sheet		Shift	C	meta	n	n	y	Sheet			
gC	columns-all	g	Shift	C	meta	n	n	y	global			
D	cmdlog		Shift	D	meta	n	n	n	global			
gD	visidata-dir	g	Shift	D	static	n	n	y	global			
F	freq-col		Shift	F	derived	n	n	y	Sheet			
gF	freq-keys	g	Shift	F	derived	n	n	y	Sheet			
H	slide-left		Shift	H	n	n	n	y	Sheet			
gH	slide-leftmost	g	Shift	H	n	n	n	y	Sheet			
I	describe		Shift	I	derived	n	n	y	Sheet			
gI	describe-all	g	Shift	I	derived	n	n	y	Sheet			
J	slide-down		Shift	J	n	n	n	y	Sheet			
gJ	slide-bottom	g	Shift	J	n	n	n	y	Sheet			
K	slide-up		Shift	K	n	n	n	y	Sheet			
gK	slide-top	g	Shift	K	n	n	n	y	Sheet			
L	slide-right		Shift	L	n	n	n	y	Sheet			
gL	slide-rightmost	g	Shift	L	n	n	n	y	Sheet			
M	melt		Shift	M	derived	n	n	y	Sheet			
gM	melt-regex	g	Shift	M	derived	n	n	y	Sheet			
N	prev-search		Shift	N	n	n	n	n	Sheet			
O	options		Shift	O	meta static	n	n	n	global			
P	paste-before		Shift	P	n	n	y	y	Sheet			
zP	paste-cell-before	z	Shift	P	n	n	y	y	Sheet			
Q	forget-sheet		Shift	Q	quit	n	n	n	global			
R	random-rows		Shift	R	derived	n	n	y	Sheet			
S	sheets		Shift	S	static meta	n	n	y	global			
gS	sheets-graveyard	g	Shift	S	static meta	n	n	y	global			
T	transpose		Shift	T	derived	n	n	y	Sheet			
