transport	port	service
tcp	1	tcpmux
udp	1	tcpmux
tcp	2	compressnet
udp	2	compressnet
tcp	3	compressnet
udp	3	compressnet
tcp	5	rje
udp	5	rje
tcp	7	echo
udp	7	echo
tcp	9	discard
udp	9	discard
tcp	11	systat
udp	11	systat
tcp	13	daytime
udp	13	daytime
tcp	17	qotd
udp	17	qotd
tcp	18	msp
udp	18	msp
tcp	19	chargen
udp	19	chargen
tcp	20	ftp-data
udp	20	ftp-data
tcp	21	ftp
udp	21	ftp
tcp	22	ssh
udp	22	ssh
tcp	23	telnet
udp	23	telnet
tcp	25	smtp
udp	25	smtp
tcp	27	nsw-fe
udp	27	nsw-fe
tcp	29	msg-icp
udp	29	msg-icp
tcp	31	msg-auth
udp	31	msg-auth
tcp	33	dsp
udp	33	dsp
tcp	37	time
udp	37	time
tcp	38	rap
udp	38	rap
tcp	39	rlp
udp	39	rlp
tcp	41	graphics
udp	41	graphics
tcp	42	name
udp	42	name
tcp	42	nameserver
udp	42	nameserver
tcp	43	nicname
udp	43	nicname
tcp	44	mpm-flags
udp	44	mpm-flags
tcp	45	mpm
udp	45	mpm
tcp	46	mpm-snd
udp	46	mpm-snd
tcp	48	auditd
udp	48	auditd
tcp	49	tacacs
udp	49	tacacs
tcp	50	re-mail-ck
udp	50	re-mail-ck
tcp	52	xns-time
udp	52	xns-time
tcp	53	domain
udp	53	domain
tcp	54	xns-ch
udp	54	xns-ch
tcp	55	isi-gl
udp	55	isi-gl
tcp	56	xns-auth
udp	56	xns-auth
tcp	58	xns-mail
udp	58	xns-mail
tcp	62	acas
udp	62	acas
tcp	63	whoispp
tcp	63	whois++
udp	63	whoispp
udp	63	whois++
tcp	64	covia
udp	64	covia
tcp	65	tacacs-ds
udp	65	tacacs-ds
tcp	66	sql-net
tcp	66	sql*net
udp	66	sql-net
udp	66	sql*net
tcp	67	bootps
udp	67	bootps
tcp	68	bootpc
udp	68	bootpc
tcp	69	tftp
udp	69	tftp
tcp	70	gopher
udp	70	gopher
tcp	71	netrjs-1
udp	71	netrjs-1
tcp	72	netrjs-2
udp	72	netrjs-2
tcp	73	netrjs-3
udp	73	netrjs-3
tcp	74	netrjs-4
udp	74	netrjs-4
tcp	76	deos
udp	76	deos
tcp	78	vettcp
udp	78	vettcp
tcp	79	finger
udp	79	finger
tcp	80	http
udp	80	http
tcp	80	www
udp	80	www
tcp	80	www-http
udp	80	www-http
tcp	82	xfer
udp	82	xfer
tcp	83	mit-ml-dev
udp	83	mit-ml-dev
tcp	84	ctf
udp	84	ctf
tcp	85	mit-ml-dev
udp	85	mit-ml-dev
tcp	86	mfcobol
udp	86	mfcobol
tcp	88	kerberos
udp	88	kerberos
tcp	89	su-mit-tg
udp	89	su-mit-tg
tcp	90	dnsix
udp	90	dnsix
tcp	91	mit-dov
udp	91	mit-dov
tcp	92	npp
udp	92	npp
tcp	93	dcp
udp	93	dcp
tcp	94	objcall
udp	94	objcall
tcp	95	supdup
udp	95	supdup
tcp	96	dixie
udp	96	dixie
tcp	97	swift-rvf
udp	97	swift-rvf
tcp	98	tacnews
udp	98	tacnews
tcp	99	metagram
udp	99	metagram
tcp	101	hostname
udp	101	hostname
tcp	102	iso-tsap
udp	102	iso-tsap
tcp	103	gppitnp
udp	103	gppitnp
tcp	104	acr-nema
udp	104	acr-nema
tcp	105	cso
udp	105	cso
tcp	105	csnet-ns
udp	105	csnet-ns
tcp	106	3com-tsmux
udp	106	3com-tsmux
tcp	107	rtelnet
udp	107	rtelnet
tcp	108	snagas
udp	108	snagas
tcp	109	pop2
udp	109	pop2
tcp	110	pop3
udp	110	pop3
tcp	111	sunrpc
udp	111	sunrpc
tcp	112	mcidas
udp	112	mcidas
tcp	113	ident
tcp	113	auth
udp	113	auth
tcp	115	sftp
udp	115	sftp
tcp	116	ansanotify
udp	116	ansanotify
tcp	117	uucp-path
udp	117	uucp-path
tcp	118	sqlserv
udp	118	sqlserv
tcp	119	nntp
udp	119	nntp
tcp	120	cfdptkt
udp	120	cfdptkt
tcp	121	erpc
udp	121	erpc
tcp	122	smakynet
udp	122	smakynet
tcp	123	ntp
udp	123	ntp
tcp	124	ansatrader
udp	124	ansatrader
tcp	125	locus-map
udp	125	locus-map
tcp	126	nxedit
udp	126	nxedit
tcp	127	locus-con
udp	127	locus-con
tcp	128	gss-xlicen
udp	128	gss-xlicen
tcp	129	pwdgen
udp	129	pwdgen
tcp	130	cisco-fna
udp	130	cisco-fna
tcp	131	cisco-tna
udp	131	cisco-tna
tcp	132	cisco-sys
udp	132	cisco-sys
tcp	133	statsrv
udp	133	statsrv
tcp	134	ingres-net
udp	134	ingres-net
tcp	135	epmap
udp	135	epmap
tcp	136	profile
udp	136	profile
tcp	137	netbios-ns
udp	137	netbios-ns
tcp	138	netbios-dgm
udp	138	netbios-dgm
tcp	139	netbios-ssn
udp	139	netbios-ssn
tcp	140	emfis-data
udp	140	emfis-data
tcp	141	emfis-cntl
udp	141	emfis-cntl
tcp	142	bl-idm
udp	142	bl-idm
tcp	143	imap
udp	143	imap
tcp	144	uma
udp	144	uma
tcp	145	uaac
udp	145	uaac
tcp	146	iso-tp0
udp	146	iso-tp0
tcp	147	iso-ip
udp	147	iso-ip
tcp	148	jargon
udp	148	jargon
tcp	149	aed-512
udp	149	aed-512
tcp	150	sql-net
udp	150	sql-net
tcp	151	hems
udp	151	hems
tcp	152	bftp
udp	152	bftp
tcp	153	sgmp
udp	153	sgmp
tcp	154	netsc-prod
udp	154	netsc-prod
tcp	155	netsc-dev
udp	155	netsc-dev
tcp	156	sqlsrv
udp	156	sqlsrv
tcp	157	knet-cmp
udp	157	knet-cmp
tcp	158	pcmail-srv
udp	158	pcmail-srv
tcp	159	nss-routing
udp	159	nss-routing
tcp	160	sgmp-traps
udp	160	sgmp-traps
tcp	161	snmp
udp	161	snmp
tcp	162	snmptrap
udp	162	snmptrap
tcp	163	cmip-man
udp	163	cmip-man
tcp	164	cmip-agent
udp	164	cmip-agent
tcp	165	xns-courier
udp	165	xns-courier
tcp	166	s-net
udp	166	s-net
tcp	167	namp
udp	167	namp
tcp	168	rsvd
udp	168	rsvd
tcp	169	send
udp	169	send
tcp	170	print-srv
udp	170	print-srv
tcp	171	multiplex
udp	171	multiplex
tcp	172	cl-1
tcp	172	cl/1
udp	172	cl-1
udp	172	cl/1
tcp	173	xyplex-mux
udp	173	xyplex-mux
tcp	174	mailq
udp	174	mailq
tcp	175	vmnet
udp	175	vmnet
tcp	176	genrad-mux
udp	176	genrad-mux
tcp	177	xdmcp
udp	177	xdmcp
tcp	178	nextstep
udp	178	nextstep
tcp	179	bgp
udp	179	bgp
tcp	180	ris
udp	180	ris
tcp	181	unify
udp	181	unify
tcp	182	audit
udp	182	audit
tcp	183	ocbinder
udp	183	ocbinder
tcp	184	ocserver
udp	184	ocserver
tcp	185	remote-kis
udp	185	remote-kis
tcp	186	kis
udp	186	kis
tcp	187	aci
udp	187	aci
tcp	188	mumps
udp	188	mumps
tcp	189	qft
udp	189	qft
tcp	190	gacp
udp	190	gacp
tcp	191	prospero
udp	191	prospero
tcp	192	osu-nms
udp	192	osu-nms
tcp	193	srmp
udp	193	srmp
tcp	194	irc
udp	194	irc
tcp	195	dn6-nlm-aud
udp	195	dn6-nlm-aud
tcp	196	dn6-smm-red
udp	196	dn6-smm-red
tcp	197	dls
udp	197	dls
tcp	198	dls-mon
udp	198	dls-mon
tcp	199	smux
udp	199	smux
tcp	200	src
udp	200	src
tcp	201	at-rtmp
udp	201	at-rtmp
tcp	202	at-nbp
udp	202	at-nbp
tcp	203	at-3
udp	203	at-3
tcp	204	at-echo
udp	204	at-echo
tcp	205	at-5
udp	205	at-5
