sheet	longname	prefix	key	keystrokes	jump	selection	modifies	logged	video	menupath	helpstr
global	add-sheet		A	A	new	n	n	y	3	sheet-new	open new blank sheet with N columns
global	advance-replay		^I	^I	n	n	n	n		meta-replay-step	execute next row in replaying sheet
global	cancel-all	g	^C	g^C	n	n	n	n		meta-threads-cancel-all	abort all secondary threads
global	check-version				n	n	n	n			check VisiData version against given version
global	cmdlog		D	D	meta	n	n	n	3	meta-cmdlog	open CommandLog
global	columns-all	g	C	gC	meta	n	n	y		meta-columns-all	open Columns Sheet with all columns from all sheets
global	describe-all	g	I	gI	derived	n	n	y		data-describe-all	open descriptive statistics for all visible columns on all sheets
global	error-recent		^E	^E	meta	n	n	n		errors-recent	view traceback for most recent error
global	errors-all	g	^E	g^E	meta	n	n	n		info-errors-all	view traceback for most recent errors
global	exec-longname		Space	Space				n		meta-exec-cmd	execute command by name
global	exec-python	g	^X	g^X	n	n	n	y		python-exec	execute Python statement in the global scope
global	forget-sheet		Q	Q	quit	n	n	n		sheet-quit-remove	quit current sheet and remove it from the cmdlog
global	freq-rows	z	F	zF	y	use	n	y		data-aggregate-summary	open one-line summary for all selected rows
global	no-op		KEY_RESIZE	KEY_RESIZE	n	n	n	n			no operation
global	open-file		o	o	y	n	n	y		sheet-open-path	open input in VisiData
global	pause-replay		^U	^U	n	n	n	n		meta-replay-toggle	pause/resume replay
global	prev-sheet		^^	^^	swap	n	n	n		view-go-sheet-swap	jump to previous sheet (swap with current sheet)
global	pyobj-expr		^X	^X	y	n	n	y		python-eval-push	evaluate Python expression and open result as Python object
global	pyobj-expr-row	z	^X	z^X	n	n	n	y		python-eval-status	evaluate Python expression, in context of current row, and open result as Python object
global	pyobj-sheet	g	^Y	g^Y	meta	n	n	y		python-push-sheet-object	open current sheet as Python object
global	quit-all	g	q	gq	quit	n	n	n		sheet-quit-all	quit all sheets (clean exit)
global	quit-sheet		q	q	quit	n	n	y	*	sheet-quit-current	quit current sheet
global	redraw		^L	^L	n	n	n	n			refresh screen
global	reload-all	g	^R	g^R	n	n	unmodifies	y		reload-all	reload all selected sheets
global	save-all	g	^S	g^S	n	n	n	y		sheet-save-all	save all sheets to given file or directory)
